time,open,high,low,close
1775006760,6587,6589,6586.25,6588.5
1775006820,6588.75,6589.75,6587.5,6589.25
1775006880,6589.25,6589.25,6587.75,6588.25
1775006940,6588.25,6589.25,6588,6588.75
1775007000,6588.75,6589.5,6588,6589
1775007060,6588.75,6589.5,6588,6588.25
1775007120,6588.5,6588.5,6586.25,6586.25
1775007180,6586.5,6588.25,6586,6588.25
1775007240,6588.25,6588.5,6584.5,6585
1775007300,6585,6585.75,6583.5,6585
1775007360,6585,6586,6583.5,6584.5
1775007420,6584.5,6585.25,6583.75,6584.25
1775007480,6584.25,6584.5,6582.75,6583.5
1775007540,6583.25,6584.5,6583.25,6584
1775007600,6584.25,6585,6583.5,6584.25
1775007660,6583.75,6584.25,6582.5,6582.5
1775007720,6582.75,6583,6580.5,6580.75
1775007780,6581,6581.25,6580,6580.5
1775007840,6580.5,6581.5,6580.25,6581.5
1775007900,6581.25,6581.5,6579.5,6580.75
1775007960,6581,6582.5,6580.5,6581.25
1775008020,6581,6581.25,6580.25,6581
1775008080,6580.75,6581.25,6580,6580.75
1775008140,6580.75,6581,6578.75,6580
1775008200,6580,6581.5,6579.25,6581.25
1775008260,6581,6581.5,6580.25,6580.75
1775008320,6581,6581.25,6579.75,6580.5
1775008380,6580.25,6582,6580.25,6581
1775008440,6580.5,6583.25,6580,6582.75
1775008500,6582.5,6583,6582,6582
1775008560,6582,6582.25,6581,6581
1775008620,6581,6582.5,6580.5,6582.5
1775008680,6582.5,6582.75,6581.5,6582
1775008740,6582,6582.25,6581,6581.5
1775008800,6581.5,6583,6581.5,6582.75
1775008860,6582.5,6584,6582,6584
1775008920,6584,6585.5,6583.75,6585
1775008980,6585,6585.25,6583.5,6584.25
1775009040,6584.25,6585,6583.25,6584
1775009100,6584.25,6584.75,6583,6584
1775009160,6584.25,6584.5,6583.25,6583.25
1775009220,6583.5,6584.5,6583,6584
1775009280,6584,6584.25,6583.5,6583.75
1775009340,6583.5,6584.75,6583.25,6584
1775009400,6584,6585,6582,6582.25
1775009460,6582.25,6582.5,6579.75,6580
1775009520,6580.5,6581.5,6580.25,6581
1775009580,6581.25,6581.5,6580.25,6580.25
1775009640,6580.75,6581.5,6580.5,6580.75
1775009700,6580.75,6581,6579.25,6580.25
1775009760,6580,6580.75,6579.5,6580.25
1775009820,6580.75,6580.75,6579.5,6580.5
1775009880,6581,6581,6580.5,6580.5
1775009940,6580.75,6582,6580.75,6581.75
1775010000,6581.5,6581.75,6580,6581.25
1775010060,6581.25,6581.25,6580.5,6581
1775010120,6581,6581.25,6580,6580.25
1775010180,6580.25,6581.5,6580,6581.5
1775010240,6581.25,6581.5,6580.25,6580.75
1775010300,6580.75,6581,6579.75,6580
1775010360,6580.25,6580.5,6578.5,6580
1775010420,6579.5,6580.25,6578.75,6579.75
1775010480,6579.75,6580,6578,6579.5
1775010540,6579.5,6579.5,6578.25,6578.75
1775010600,6579,6579.75,6577,6579
1775010660,6579,6579.75,6578.5,6578.5
1775010720,6578.5,6578.75,6577.5,6578
1775010780,6578.25,6578.75,6577.25,6577.75
1775010840,6577.5,6578,6576.5,6576.5
1775010900,6576.75,6577.5,6576,6576
1775010960,6576.25,6577,6575.5,6576
1775011020,6576.25,6577.25,6575.5,6576.5
1775011080,6576.5,6577.25,6575.75,6577.25
1775011140,6577.5,6577.75,6576.75,6577.5
1775011200,6577.25,6578,6577,6577.25
1775011260,6577.5,6579.25,6576.75,6579
1775011320,6579,6579.75,6578.25,6579.25
1775011380,6579.25,6579.75,6578.75,6579.25
1775011440,6579,6579.25,6578.5,6578.75
1775011500,6578.5,6580.75,6578.5,6580.5
1775011560,6580.25,6581.5,6578.5,6578.75
1775011620,6578.5,6579.75,6578.5,6579.75
1775011680,6579.75,6580.25,6578.75,6579.75
1775011740,6579.25,6579.5,6578.25,6578.25
1775011800,6578.25,6578.75,6578.25,6578.25
1775011860,6578.25,6579,6578.25,6578.25
1775011920,6578,6578.75,6577.75,6578.25
1775011980,6578.25,6579.25,6578,6579.25
1775012040,6579,6580.5,6579,6580
1775012100,6580,6580.5,6579.25,6579.75
1775012160,6579.5,6580,6578.5,6579
